bcp_number,rfc_number,title,status,format,file_path,downloaded
,9325,Recommendations for Secure Use of Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS),Best Current Practice,txt,rfcs\txt\rfc9325.txt,Yes
,9325,Recommendations for Secure Use of Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS),Best Current Practice,pdf,rfcs\pdf\rfc9325.pdf,Yes
,9325,Recommendations for Secure Use of Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS),Best Current Practice,xml,rfcs\xml\rfc9325.xml,Yes
,9319,The Use of maxLength in the Resource Public Key Infrastructure (RPKI),Best Current Practice,html,rfcs\html\rfc9319.html,Yes
,9319,The Use of maxLength in the Resource Public Key Infrastructure (RPKI),Best Current Practice,txt,rfcs\txt\rfc9319.txt,Yes
,9319,The Use of maxLength in the Resource Public Key Infrastructure (RPKI),Best Current Practice,pdf,rfcs\pdf\rfc9319.pdf,Yes
,9319,The Use of maxLength in the Resource Public Key Infrastructure (RPKI),Best Current Practice,xml,rfcs\xml\rfc9319.xml,Yes
,9283,IAB Charter Update for RFC Editor Model,Best Current Practice,html,rfcs\html\rfc9283.html,Yes
,9283,IAB Charter Update for RFC Editor Model,Best Current Practice,txt,rfcs\txt\rfc9283.txt,Yes
,9283,IAB Charter Update for RFC Editor Model,Best Current Practice,pdf,rfcs\pdf\rfc9283.pdf,Yes
,9283,IAB Charter Update for RFC Editor Model,Best Current Practice,xml,rfcs\xml\rfc9283.xml,Yes
,9282,Responsibility Change for the RFC Series,Best Current Practice,html,rfcs\html\rfc9282.html,Yes
,9282,Responsibility Change for the RFC Series,Best Current Practice,txt,rfcs\txt\rfc9282.txt,Yes
,9282,Responsibility Change for the RFC Series,Best Current Practice,pdf,rfcs\pdf\rfc9282.pdf,Yes
,9282,Responsibility Change for the RFC Series,Best Current Practice,xml,rfcs\xml\rfc9282.xml,Yes
,9281,Entities Involved in the IETF Standards Process,Best Current Practice,html,rfcs\html\rfc9281.html,Yes
,9281,Entities Involved in the IETF Standards Process,Best Current Practice,txt,rfcs\txt\rfc9281.txt,Yes
,9281,Entities Involved in the IETF Standards Process,Best Current Practice,pdf,rfcs\pdf\rfc9281.pdf,Yes
,9281,Entities Involved in the IETF Standards Process,Best Current Practice,xml,rfcs\xml\rfc9281.xml,Yes
,9276,Guidance for NSEC3 Parameter Settings,Best Current Practice,html,rfcs\html\rfc9276.html,Yes
,9276,Guidance for NSEC3 Parameter Settings,Best Current Practice,txt,rfcs\txt\rfc9276.txt,Yes
,9276,Guidance for NSEC3 Parameter Settings,Best Current Practice,pdf,rfcs\pdf\rfc9276.pdf,Yes
,9276,Guidance for NSEC3 Parameter Settings,Best Current Practice,xml,rfcs\xml\rfc9276.xml,Yes
,9245,IETF Discussion List Charter,Best Current Practice,html,rfcs\html\rfc9245.html,Yes
,9245,IETF Discussion List Charter,Best Current Practice,txt,rfcs\txt\rfc9245.txt,Yes
,9245,IETF Discussion List Charter,Best Current Practice,pdf,rfcs\pdf\rfc9245.pdf,Yes
,9245,IETF Discussion List Charter,Best Current Practice,xml,rfcs\xml\rfc9245.xml,Yes
,9210,DNS Transport over TCP - Operational Requirements,Best Current Practice,html,rfcs\html\rfc9210.html,Yes
,9210,DNS Transport over TCP - Operational Requirements,Best Current Practice,txt,rfcs\txt\rfc9210.txt,Yes
,9210,DNS Transport over TCP - Operational Requirements,Best Current Practice,pdf,rfcs\pdf\rfc9210.pdf,Yes
,9210,DNS Transport over TCP - Operational Requirements,Best Current Practice,xml,rfcs\xml\rfc9210.xml,Yes
,9205,Building Protocols with HTTP,Best Current Practice,html,rfcs\html\rfc9205.html,Yes
,9205,Building Protocols with HTTP,Best Current Practice,txt,rfcs\txt\rfc9205.txt,Yes
,9205,Building Protocols with HTTP,Best Current Practice,pdf,rfcs\pdf\rfc9205.pdf,Yes
,9205,Building Protocols with HTTP,Best Current Practice,xml,rfcs\xml\rfc9205.xml,Yes
,9137,Considerations for Cancellation of IETF Meetings,Best Current Practice,html,rfcs\html\rfc9137.html,Yes
,9137,Considerations for Cancellation of IETF Meetings,Best Current Practice,txt,rfcs\txt\rfc9137.txt,Yes
,9137,Considerations for Cancellation of IETF Meetings,Best Current Practice,pdf,rfcs\pdf\rfc9137.pdf,Yes
,9137,Considerations for Cancellation of IETF Meetings,Best Current Practice,xml,rfcs\xml\rfc9137.xml,Yes
,9096,Improving the Reaction of Customer Edge Routers to IPv6 Renumbering Events,Best Current Practice,html,rfcs\html\rfc9096.html,Yes
,9096,Improving the Reaction of Customer Edge Routers to IPv6 Renumbering Events,Best Current Practice,txt,rfcs\txt\rfc9096.txt,Yes
,9096,Improving the Reaction of Customer Edge Routers to IPv6 Renumbering Events,Best Current Practice,pdf,rfcs\pdf\rfc9096.pdf,Yes
,9096,Improving the Reaction of Customer Edge Routers to IPv6 Renumbering Events,Best Current Practice,xml,rfcs\xml\rfc9096.xml,Yes
,8996,Deprecating TLS 1.0 and TLS 1.1,Best Current Practice,html,rfcs\html\rfc8996.html,Yes
,8996,Deprecating TLS 1.0 and TLS 1.1,Best Current Practice,txt,rfcs\txt\rfc8996.txt,Yes
,8996,Deprecating TLS 1.0 and TLS 1.1,Best Current Practice,pdf,rfcs\pdf\rfc8996.pdf,Yes
,8996,Deprecating TLS 1.0 and TLS 1.1,Best Current Practice,xml,rfcs\xml\rfc8996.xml,Yes
,8961,Requirements for Time-Based Loss Detection,Best Current Practice,html,rfcs\html\rfc8961.html,Yes
,8961,Requirements for Time-Based Loss Detection,Best Current Practice,txt,rfcs\txt\rfc8961.txt,Yes
,8961,Requirements for Time-Based Loss Detection,Best Current Practice,pdf,rfcs\pdf\rfc8961.pdf,Yes
,8961,Requirements for Time-Based Loss Detection,Best Current Practice,xml,rfcs\xml\rfc8961.xml,Yes
,8958,Updated Registration Rules for URI.ARPA,Best Current Practice,html,rfcs\html\rfc8958.html,Yes
,8958,Updated Registration Rules for URI.ARPA,Best Current Practice,txt,rfcs\txt\rfc8958.txt,Yes
,8958,Updated Registration Rules for URI.ARPA,Best Current Practice,pdf,rfcs\pdf\rfc8958.pdf,Yes
,8958,Updated Registration Rules for URI.ARPA,Best Current Practice,xml,rfcs\xml\rfc8958.xml,Yes
,8932,Recommendations for DNS Privacy Service Operators,Best Current Practice,html,rfcs\html\rfc8932.html,Yes
,8932,Recommendations for DNS Privacy Service Operators,Best Current Practice,txt,rfcs\txt\rfc8932.txt,Yes
,8932,Recommendations for DNS Privacy Service Operators,Best Current Practice,pdf,rfcs\pdf\rfc8932.pdf,Yes
,8932,Recommendations for DNS Privacy Service Operators,Best Current Practice,xml,rfcs\xml\rfc8932.xml,Yes
,8906,A Common Operational Problem in DNS Servers: Failure to Communicate,Best Current Practice,html,rfcs\html\rfc8906.html,Yes
,8906,A Common Operational Problem in DNS Servers: Failure to Communicate,Best Current Practice,txt,rfcs\txt\rfc8906.txt,Yes
,8906,A Common Operational Problem in DNS Servers: Failure to Communicate,Best Current Practice,pdf,rfcs\pdf\rfc8906.pdf,Yes
,8906,A Common Operational Problem in DNS Servers: Failure to Communicate,Best Current Practice,xml,rfcs\xml\rfc8906.xml,Yes
,8900,IP Fragmentation Considered Fragile,Best Current Practice,html,rfcs\html\rfc8900.html,Yes
,8900,IP Fragmentation Considered Fragile,Best Current Practice,txt,rfcs\txt\rfc8900.txt,Yes
,8900,IP Fragmentation Considered Fragile,Best Current Practice,pdf,rfcs\pdf\rfc8900.pdf,Yes
,8900,IP Fragmentation Considered Fragile,Best Current Practice,xml,rfcs\xml\rfc8900.xml,Yes
,8862,Best Practices for Securing RTP Media Signaled with SIP,Best Current Practice,html,rfcs\html\rfc8862.html,Yes
,8862,Best Practices for Securing RTP Media Signaled with SIP,Best Current Practice,txt,rfcs\txt\rfc8862.txt,Yes
,8862,Best Practices for Securing RTP Media Signaled with SIP,Best Current Practice,pdf,rfcs\pdf\rfc8862.pdf,Yes
,8862,Best Practices for Securing RTP Media Signaled with SIP,Best Current Practice,xml,rfcs\xml\rfc8862.xml,Yes
,8820,URI Design and Ownership,Best Current Practice,html,rfcs\html\rfc8820.html,Yes
,8820,URI Design and Ownership,Best Current Practice,txt,rfcs\txt\rfc8820.txt,Yes
,8820,URI Design and Ownership,Best Current Practice,pdf,rfcs\pdf\rfc8820.pdf,Yes
,8820,URI Design and Ownership,Best Current Practice,xml,rfcs\xml\rfc8820.xml,Yes
,8815,Deprecating Any-Source Multicast (ASM) for Interdomain Multicast,Best Current Practice,html,rfcs\html\rfc8815.html,Yes
,8815,Deprecating Any-Source Multicast (ASM) for Interdomain Multicast,Best Current Practice,txt,rfcs\txt\rfc8815.txt,Yes
,8815,Deprecating Any-Source Multicast (ASM) for Interdomain Multicast,Best Current Practice,pdf,rfcs\pdf\rfc8815.pdf,Yes
,8815,Deprecating Any-Source Multicast (ASM) for Interdomain Multicast,Best Current Practice,xml,rfcs\xml\rfc8815.xml,Yes
,8789,IETF Stream Documents Require IETF Rough Consensus,Best Current Practice,html,rfcs\html\rfc8789.html,Yes
,8789,IETF Stream Documents Require IETF Rough Consensus,Best Current Practice,txt,rfcs\txt\rfc8789.txt,Yes
,8789,IETF Stream Documents Require IETF Rough Consensus,Best Current Practice,pdf,rfcs\pdf\rfc8789.pdf,Yes
,8789,IETF Stream Documents Require IETF Rough Consensus,Best Current Practice,xml,rfcs\xml\rfc8789.xml,Yes
,8788,Eligibility for the 2020-2021 Nominating Committee,Best Current Practice,html,rfcs\html\rfc8788.html,Yes
,8788,Eligibility for the 2020-2021 Nominating Committee,Best Current Practice,txt,rfcs\txt\rfc8788.txt,Yes
,8788,Eligibility for the 2020-2021 Nominating Committee,Best Current Practice,pdf,rfcs\pdf\rfc8788.pdf,Yes
,8788,Eligibility for the 2020-2021 Nominating Committee,Best Current Practice,xml,rfcs\xml\rfc8788.xml,Yes
,8758,Deprecating RC4 in Secure Shell (SSH),Best Current Practice,html,rfcs\html\rfc8758.html,Yes
,8758,Deprecating RC4 in Secure Shell (SSH),Best Current Practice,txt,rfcs\txt\rfc8758.txt,Yes
,8758,Deprecating RC4 in Secure Shell (SSH),Best Current Practice,pdf,rfcs\pdf\rfc8758.pdf,Yes
,8758,Deprecating RC4 in Secure Shell (SSH),Best Current Practice,xml,rfcs\xml\rfc8758.xml,Yes
,8725,JSON Web Token Best Current Practices,Best Current Practice,html,rfcs\html\rfc8725.html,Yes
,8725,JSON Web Token Best Current Practices,Best Current Practice,txt,rfcs\txt\rfc8725.txt,Yes
,8725,JSON Web Token Best Current Practices,Best Current Practice,pdf,rfcs\pdf\rfc8725.pdf,Yes
,8725,JSON Web Token Best Current Practices,Best Current Practice,xml,rfcs\xml\rfc8725.xml,Yes
,8719,High-Level Guidance for the Meeting Policy of the IETF,Best Current Practice,html,rfcs\html\rfc8719.html,Yes
,8719,High-Level Guidance for the Meeting Policy of the IETF,Best Current Practice,txt,rfcs\txt\rfc8719.txt,Yes
,8719,High-Level Guidance for the Meeting Policy of the IETF,Best Current Practice,pdf,rfcs\pdf\rfc8719.pdf,Yes
,8719,High-Level Guidance for the Meeting Policy of the IETF,Best Current Practice,xml,rfcs\xml\rfc8719.xml,Yes
,8718,IETF Plenary Meeting Venue Selection Process,Best Current Practice,html,rfcs\html\rfc8718.html,Yes
,8718,IETF Plenary Meeting Venue Selection Process,Best Current Practice,txt,rfcs\txt\rfc8718.txt,Yes
,8718,IETF Plenary Meeting Venue Selection Process,Best Current Practice,pdf,rfcs\pdf\rfc8718.pdf,Yes
,8718,IETF Plenary Meeting Venue Selection Process,Best Current Practice,xml,rfcs\xml\rfc8718.xml,Yes
,8717,IETF Administrative Support Activity 2.0: Consolidated Updates to IETF Administrative Terminology,Best Current Practice,html,rfcs\html\rfc8717.html,Yes
,8717,IETF Administrative Support Activity 2.0: Consolidated Updates to IETF Administrative Terminology,Best Current Practice,txt,rfcs\txt\rfc8717.txt,Yes
,8717,IETF Administrative Support Activity 2.0: Consolidated Updates to IETF Administrative Terminology,Best Current Practice,pdf,rfcs\pdf\rfc8717.pdf,Yes
,8717,IETF Administrative Support Activity 2.0: Consolidated Updates to IETF Administrative Terminology,Best Current Practice,xml,rfcs\xml\rfc8717.xml,Yes
,8716,Update to the IETF Anti-Harassment Procedures for the Replacement of the IETF Administrative Oversight Committee (IAOC) with the IETF Administration LLC,Best Current Practice,html,rfcs\html\rfc8716.html,Yes
,8716,Update to the IETF Anti-Harassment Procedures for the Replacement of the IETF Administrative Oversight Committee (IAOC) with the IETF Administration LLC,Best Current Practice,txt,rfcs\txt\rfc8716.txt,Yes
,8716,Update to the IETF Anti-Harassment Procedures for the Replacement of the IETF Administrative Oversight Committee (IAOC) with the IETF Administration LLC,Best Current Practice,pdf,rfcs\pdf\rfc8716.pdf,Yes
,8716,Update to the IETF Anti-Harassment Procedures for the Replacement of the IETF Administrative Oversight Committee (IAOC) with the IETF Administration LLC,Best Current Practice,xml,rfcs\xml\rfc8716.xml,Yes
,8714,Update to the Process for Selection of Trustees for the IETF Trust,Best Current Practice,html,rfcs\html\rfc8714.html,Yes
,8714,Update to the Process for Selection of Trustees for the IETF Trust,Best Current Practice,txt,rfcs\txt\rfc8714.txt,Yes
,8714,Update to the Process for Selection of Trustees for the IETF Trust,Best Current Practice,pdf,rfcs\pdf\rfc8714.pdf,Yes
,8714,Update to the Process for Selection of Trustees for the IETF Trust,Best Current Practice,xml,rfcs\xml\rfc8714.xml,Yes
,8713,"IAB, IESG, IETF Trust, and IETF LLC Selection, Confirmation, and Recall Process: Operation of the IETF Nominating and Recall Committees",Best Current Practice,html,rfcs\html\rfc8713.html,Yes
,8713,"IAB, IESG, IETF Trust, and IETF LLC Selection, Confirmation, and Recall Process: Operation of the IETF Nominating and Recall Committees",Best Current Practice,txt,rfcs\txt\rfc8713.txt,Yes
,8713,"IAB, IESG, IETF Trust, and IETF LLC Selection, Confirmation, and Recall Process: Operation of the IETF Nominating and Recall Committees",Best Current Practice,pdf,rfcs\pdf\rfc8713.pdf,Yes
,8713,"IAB, IESG, IETF Trust, and IETF LLC Selection, Confirmation, and Recall Process: Operation of the IETF Nominating and Recall Committees",Best Current Practice,xml,rfcs\xml\rfc8713.xml,Yes
,8711,"Structure of the IETF Administrative Support Activity, Version 2.0",Best Current Practice,html,rfcs\html\rfc8711.html,Yes
,8711,"Structure of the IETF Administrative Support Activity, Version 2.0",Best Current Practice,txt,rfcs\txt\rfc8711.txt,Yes
,8711,"Structure of the IETF Administrative Support Activity, Version 2.0",Best Current Practice,pdf,rfcs\pdf\rfc8711.pdf,Yes
,8711,"Structure of the IETF Administrative Support Activity, Version 2.0",Best Current Practice,xml,rfcs\xml\rfc8711.xml,Yes
,8704,Enhanced Feasible-Path Unicast Reverse Path Forwarding,Best Current Practice,html,rfcs\html\rfc8704.html,Yes
,8704,Enhanced Feasible-Path Unicast Reverse Path Forwarding,Best Current Practice,txt,rfcs\txt\rfc8704.txt,Yes
,8704,Enhanced Feasible-Path Unicast Reverse Path Forwarding,Best Current Practice,pdf,rfcs\pdf\rfc8704.pdf,Yes
,8704,Enhanced Feasible-Path Unicast Reverse Path Forwarding,Best Current Practice,xml,rfcs\xml\rfc8704.xml,Yes
,8634,BGPsec Router Certificate Rollover,Best Current Practice,txt,rfcs\txt\rfc8634.txt,Yes
,8634,BGPsec Router Certificate Rollover,Best Current Practice,pdf,rfcs\pdf\rfc8634.pdf,Yes
,8634,BGPsec Router Certificate Rollover,Best Current Practice,html,rfcs\html\rfc8634.html,Yes
,8633,Network Time Protocol Best Current Practices,Best Current Practice,txt,rfcs\txt\rfc8633.txt,Yes
,8633,Network Time Protocol Best Current Practices,Best Current Practice,pdf,rfcs\pdf\rfc8633.pdf,Yes
,8633,Network Time Protocol Best Current Practices,Best Current Practice,html,rfcs\html\rfc8633.html,Yes
,8553,DNS Attrleaf Changes: Fixing Specifications That Use Underscored Node Names,Best Current Practice,txt,rfcs\txt\rfc8553.txt,Yes
,8553,DNS Attrleaf Changes: Fixing Specifications That Use Underscored Node Names,Best Current Practice,pdf,rfcs\pdf\rfc8553.pdf,Yes
,8553,DNS Attrleaf Changes: Fixing Specifications That Use Underscored Node Names,Best Current Practice,html,rfcs\html\rfc8553.html,Yes
,8552,"Scoped Interpretation of DNS Resource Records through ""Underscored"" Naming of Attribute Leaves",Best Current Practice,txt,rfcs\txt\rfc8552.txt,Yes
,8552,"Scoped Interpretation of DNS Resource Records through ""Underscored"" Naming of Attribute Leaves",Best Current Practice,pdf,rfcs\pdf\rfc8552.pdf,Yes
,8552,"Scoped Interpretation of DNS Resource Records through ""Underscored"" Naming of Attribute Leaves",Best Current Practice,html,rfcs\html\rfc8552.html,Yes
,8521,Registration Data Access Protocol (RDAP) Object Tagging,Best Current Practice,txt,rfcs\txt\rfc8521.txt,Yes
,8521,Registration Data Access Protocol (RDAP) Object Tagging,Best Current Practice,pdf,rfcs\pdf\rfc8521.pdf,Yes
,8521,Registration Data Access Protocol (RDAP) Object Tagging,Best Current Practice,html,rfcs\html\rfc8521.html,Yes
,8504,IPv6 Node Requirements,Best Current Practice,txt,rfcs\txt\rfc8504.txt,Yes
,8504,IPv6 Node Requirements,Best Current Practice,pdf,rfcs\pdf\rfc8504.pdf,Yes
,8504,IPv6 Node Requirements,Best Current Practice,html,rfcs\html\rfc8504.html,Yes
,8499,DNS Terminology,Best Current Practice,txt,rfcs\txt\rfc8499.txt,Yes
,8499,DNS Terminology,Best Current Practice,pdf,rfcs\pdf\rfc8499.pdf,Yes
,8499,DNS Terminology,Best Current Practice,html,rfcs\html\rfc8499.html,Yes
,8429,Deprecate Triple-DES (3DES) and RC4 in Kerberos,Best Current Practice,txt,rfcs\txt\rfc8429.txt,Yes
,8429,Deprecate Triple-DES (3DES) and RC4 in Kerberos,Best Current Practice,pdf,rfcs\pdf\rfc8429.pdf,Yes
,8429,Deprecate Triple-DES (3DES) and RC4 in Kerberos,Best Current Practice,html,rfcs\html\rfc8429.html,Yes
,8421,Guidelines for Multihomed and IPv4/IPv6 Dual-Stack Interactive Connectivity Establishment (ICE),Best Current Practice,txt,rfcs\txt\rfc8421.txt,Yes
,8421,Guidelines for Multihomed and IPv4/IPv6 Dual-Stack Interactive Connectivity Establishment (ICE),Best Current Practice,pdf,rfcs\pdf\rfc8421.pdf,Yes
,8421,Guidelines for Multihomed and IPv4/IPv6 Dual-Stack Interactive Connectivity Establishment (ICE),Best Current Practice,html,rfcs\html\rfc8421.html,Yes
,8407,Guidelines for Authors and Reviewers of Documents Containing YANG Data Models,Best Current Practice,txt,rfcs\txt\rfc8407.txt,Yes
,8407,Guidelines for Authors and Reviewers of Documents Containing YANG Data Models,Best Current Practice,pdf,rfcs\pdf\rfc8407.pdf,Yes
,8407,Guidelines for Authors and Reviewers of Documents Containing YANG Data Models,Best Current Practice,html,rfcs\html\rfc8407.html,Yes
,8340,YANG Tree Diagrams,Best Current Practice,txt,rfcs\txt\rfc8340.txt,Yes
,8340,YANG Tree Diagrams,Best Current Practice,pdf,rfcs\pdf\rfc8340.pdf,Yes
,8340,YANG Tree Diagrams,Best Current Practice,html,rfcs\html\rfc8340.html,Yes
,8327,Mitigating the Negative Impact of Maintenance through BGP Session Culling,Best Current Practice,txt,rfcs\txt\rfc8327.txt,Yes
,8327,Mitigating the Negative Impact of Maintenance through BGP Session Culling,Best Current Practice,pdf,rfcs\pdf\rfc8327.pdf,Yes
,8327,Mitigating the Negative Impact of Maintenance through BGP Session Culling,Best Current Practice,html,rfcs\html\rfc8327.html,Yes
,8318,"IAB, IESG, and IAOC Selection, Confirmation, and Recall Process: IAOC Advisor for the Nominating Committee",Best Current Practice,txt,rfcs\txt\rfc8318.txt,Yes
,8318,"IAB, IESG, and IAOC Selection, Confirmation, and Recall Process: IAOC Advisor for the Nominating Committee",Best Current Practice,pdf,rfcs\pdf\rfc8318.pdf,Yes
,8318,"IAB, IESG, and IAOC Selection, Confirmation, and Recall Process: IAOC Advisor for the Nominating Committee",Best Current Practice,html,rfcs\html\rfc8318.html,Yes
,8313,Use of Multicast across Inter-domain Peering Points,Best Current Practice,txt,rfcs\txt\rfc8313.txt,Yes
,8313,Use of Multicast across Inter-domain Peering Points,Best Current Practice,pdf,rfcs\pdf\rfc8313.pdf,Yes
,8313,Use of Multicast across Inter-domain Peering Points,Best Current Practice,html,rfcs\html\rfc8313.html,Yes
,8252,OAuth 2.0 for Native Apps,Best Current Practice,txt,rfcs\txt\rfc8252.txt,Yes
,8252,OAuth 2.0 for Native Apps,Best Current Practice,pdf,rfcs\pdf\rfc8252.pdf,Yes
,8252,OAuth 2.0 for Native Apps,Best Current Practice,html,rfcs\html\rfc8252.html,Yes
,8207,BGPsec Operational Considerations,Best Current Practice,txt,rfcs\txt\rfc8207.txt,Yes
,8207,BGPsec Operational Considerations,Best Current Practice,pdf,rfcs\pdf\rfc8207.pdf,Yes
,8207,BGPsec Operational Considerations,Best Current Practice,html,rfcs\html\rfc8207.html,Yes
,8190,Updates to the Special-Purpose IP Address Registries,Best Current Practice,txt,rfcs\txt\rfc8190.txt,Yes
,8190,Updates to the Special-Purpose IP Address Registries,Best Current Practice,pdf,rfcs\pdf\rfc8190.pdf,Yes
,8190,Updates to the Special-Purpose IP Address Registries,Best Current Practice,html,rfcs\html\rfc8190.html,Yes
,8180,Minimal IPv6 over the TSCH Mode of IEEE 802.15.4e (6TiSCH) Configuration,Best Current Practice,txt,rfcs\txt\rfc8180.txt,Yes
